slug,hookText,hookHighlight,imagePath
ai-critical-thinking,"One-third of students are hooked.","The research is nuanced.","ai-critical-thinking.png"
ai-detection-arms-race-over,"94% of AI work goes undetected.","The tools catch the innocent.","ai-detection-arms-race-over.png"
ai-for-difficult-conversations,"The conversation sat on my calendar for 3 days.","AI didn't make it easy. Just easier.","ai-for-difficult-conversations.png"
ai-policy-framework,"60% of schools have no AI rules.","Students made their own.","ai-policy-framework.png"
ai-proof-assignments,"69% of students used ChatGPT.","Banning it made it worse.","ai-proof-assignments.png"
ai-report-comments-teachers,"Weekends lost to report cards.","20 minutes. Done.","ai-report-comments-teachers.png"
ai-strategy-leadership,"60% of principals already use AI.","IT can't answer the hard questions.","ai-strategy-leadership.png"
ai-student-data-privacy,"82% of schools got hacked.","Your AI tools helped.","ai-student-data-privacy.png"
ai-tutoring-research,"AI tutoring doubled learning.","Regular ChatGPT made it worse.","ai-tutoring-research.png"
automated-research-pipeline,"47 tabs open. None of them read.","Now I scan one page.","automated-research-pipeline.png"
board-report-template,"Board meetings used to terrify me.","One page fixed it.","board-report-template.png"
claude-parent-emails,"23 tabs. Cold coffee. 9pm.","15 minutes. All done.","claude-parent-emails.png"
claude-projects-leadership-workspace,"Every day, I hired a stranger.","Then I gave it a job description.","claude-projects-leadership-workspace.png"
deepfake-crisis-schools,"440,000 reports in 6 months.","The victims are students.","deepfake-crisis-schools.png"
elevenlabs-voice-cloning-guide,"The default voices sound like a GPS.","$22 fixed that.","elevenlabs-voice-cloning-guide.png"
fewer-decisions-not-discipline,"200 decisions before 10am.","No wonder you're fried.","fewer-decisions-not-discipline.png"
five-systems-every-new-head-needs,"I focused on relationships.","By month three, I was drowning.","five-systems-every-new-head-needs.png"
gamma-presentations-from-notes,"40 minutes. Messy notes. No designer.","60 seconds later: a deck.","gamma-presentations-from-notes.png"
heygen-ai-avatar-video-guide,"39 videos. No camera crew.","An avatar did the talking.","heygen-ai-avatar-video-guide.png"
how-i-built-an-ib-world-school-from-scratch,"No staff. No curriculum. No systems.","Two years to IB authorization.","how-i-built-an-ib-world-school-from-scratch.png"
inbox-fifteen,"Inbox zero lasted 12 seconds.","Inbox fifteen actually works.","inbox-fifteen.png"
meeting-audit,"27 recurring meetings.","I killed most of them.","meeting-audit.png"
no-admin-inbox-zero,"3 hours a day on email.","Not anymore.","no-admin-inbox-zero.png"
notebooklm-board-report,"47 documents. 3 spreadsheets. Friday deadline.","NotebookLM ate them all.","notebooklm-board-report.png"
notebooklm-master-any-document,"200 pages. Zero hallucinations.","Every answer has a citation.","notebooklm-master-any-document.png"
notion-cathedral-kitchen,"Beautiful Notion setup. Lasted 3 weeks.","The ugly one stuck.","notion-cathedral-kitchen.png"
parent-ai-communication,"83% of parents heard nothing from the school.","Their kids already use AI daily.","parent-ai-communication.png"
parent-communication-system,"Parent complaints consumed hours.","They dropped 70%.","parent-communication-system.png"
running-school-vs-run-by-school,"You became a leader to shape education.","Now you answer email until 10pm.","running-school-vs-run-by-school.png"
school-leaders-guide-ai-2026,"92% of students use AI.","Most schools still have no plan.","school-leaders-guide-ai-2026.png"
stop-scheduling-meetings,"A meeting to plan the meeting.","That's expensive email.","stop-scheduling-meetings.png"
stopped-apologizing-response-time,"Half my emails started with 'sorry.'","I was undermining myself.","stopped-apologizing-response-time.png"
teacher-ai-training-gap,"68% of teachers. Zero AI training.","92% of students use it daily.","teacher-ai-training-gap.png"
template-library-school-leaders,"47 minutes for one email.","Now it takes one click.","template-library-school-leaders.png"
ten-hours-back,"10 hours of free time appeared.","I felt guilty.","ten-hours-back.png"
three-folder-google-drive,"Folders named 'Old_Archive_FINAL_v2.'","Three folders fixed everything.","three-folder-google-drive.png"
trained-50-teachers-on-ai,"I announced AI training. They rolled their eyes.","Six months later, 80% use it daily.","trained-50-teachers-on-ai.png"
tuesday-afternoon,"2:47pm. To-do list: empty.","I felt like I was getting away with something.","tuesday-afternoon.png"
what-i-stopped-doing,"I skipped it for a month.","Nobody noticed.","what-i-stopped-doing.png"
what-i-wish-i-knew-first-year-head,"I thought I was ready.","I was not.","what-i-wish-i-knew-first-year-head.png"
what-to-automate-what-to-protect,"AI wrote perfect emails.","It missed the human part.","what-to-automate-what-to-protect.png"
why-ai-skills-are-no-longer-optional,"I'm not a tech person.","AI isn't a tech skill.","why-ai-skills-are-no-longer-optional.png"
why-school-strategic-plans-fail,"Every school has a strategic plan.","Almost none use it.","why-school-strategic-plans-fail.png"
featured-image-pipeline-ai-nodejs,"10 minutes per image.","From AI prompt to production.","featured-image-pipeline-ai-nodejs.png"
remotion-video-content-non-developer,"React renders video now.","I didn't write the code.","remotion-video-content-non-developer.png"
claude-code-non-developer-guide,"I describe. It builds.","No Stack Overflow required.","claude-code-non-developer-guide.png"
visual-brand-system-blog-posts,"43 posts. One visual system.","Every image matches.","visual-brand-system-blog-posts.png"
workflow-document-systems,"I forgot my own process.","Then I wrote it down.","workflow-document-systems.png"
chatgpt-to-production-api,"Copy-pasting prompts into ChatGPT.","I built an API call instead.","chatgpt-to-production-api.png"
